Цифр. код,Букв. код,Единиц,Валюта,Курс
036,AUD,1,Австралийский доллар,"59,0855"
944,AZN,1,Азербайджанский манат,"52,2021"
051,AMD,100,Армянских драмов,"22,8620"
933,BYN,1,Белорусский рубль,"27,9024"
975,BGN,1,Болгарский лев,"49,2987"
986,BRL,1,Бразильский реал,"16,8445"
348,HUF,100,Венгерских форинтов,"24,6346"
410,KRW,1000,Вон Республики Корея,"64,6348"
704,VND,10000,Вьетнамских донгов,"36,6089"
344,HKD,1,Гонконгский доллар,"11,3847"
981,GEL,1,Грузинский лари,"31,7633"
208,DKK,1,Датская крона,"12,9266"
784,AED,1,Дирхам ОАЭ,"24,1644"
840,USD,1,Доллар США,"88,7436"
978,EUR,1,Евро,"96,4443"
818,EGP,10,Египетских фунтов,"18,6329"
356,INR,10,Индийских рупий,"10,6420"
360,IDR,10000,Индонезийских рупий,"54,7125"
398,KZT,100,Казахстанских тенге,"19,8084"
124,CAD,1,Канадский доллар,"64,8663"
634,QAR,1,Катарский риал,"24,3801"
417,KGS,10,Киргизских сомов,"10,1633"
156,CNY,1,Китайский юань,"12,2244"
498,MDL,10,Молдавских леев,"50,1059"
554,NZD,1,Новозеландский доллар,"54,9101"
934,TMT,1,Новый туркменский манат,"25,3553"
578,NOK,10,Норвежских крон,"83,9239"
985,PLN,1,Польский злотый,"22,4060"
946,RON,1,Румынский лей,"19,3967"
960,XDR,1,СДР (специальные права заимствования),"117,6678"
941,RSD,100,Сербских динаров,"82,4724"
702,SGD,1,Сингапурский доллар,"65,9167"
972,TJS,10,Таджикских сомони,"82,4732"
764,THB,10,Таиландских батов,"24,2502"
949,TRY,10,Турецких лир,"27,4767"
860,UZS,10000,Узбекских сумов,"70,0698"
980,UAH,10,Украинских гривен,"22,0241"
826,GBP,1,Фунт стерлингов Соединенного королевства,"113,4143"
203,CZK,10,Чешских крон,"39,1286"
752,SEK,10,Шведских крон,"84,7610"
756,CHF,1,Швейцарский франк,"99,4437"
710,ZAR,10,Южноафриканских рэндов,"47,1968"
392,JPY,100,Японских иен,"57,1617"
